season,home_spread_close,sharp_signal_home,book_consensus_std,spread_movement_pts,open_implied_prob_home,line_movement,h2h_home_win_rate_10,h2h_home_pts_diff_10
2003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2006,0.8350951374207188,0.8322762508809021,0.8322762508809021,0.0,0.0,0.0,1.0,1.0
2007,0.9326718639262934,0.851169383416017,0.851169383416017,0.8646350106307583,0.9326718639262934,0.8646350106307583,1.0,1.0
2008,0.9228070175438596,0.8533333333333334,0.8533333333333334,0.8652631578947368,0.9228070175438596,0.8652631578947368,1.0,1.0
2009,0.9213483146067416,0.8764044943820225,0.8764044943820225,0.8806179775280899,0.9213483146067416,0.8806179775280899,1.0,1.0
2010,0.9219409282700421,0.8340365682137834,0.8340365682137834,0.8466947960618847,0.9219409282700421,0.8466947960618847,1.0,1.0
2011,1.0,0.9909420289855072,0.9909420289855072,0.9719202898550725,0.9728260869565217,0.9719202898550725,1.0,1.0
2012,0.9253521126760563,0.9105633802816901,0.9105633802816901,0.9147887323943662,0.9253521126760563,0.9147887323943662,1.0,1.0
2013,0.9243167484232656,0.8990889978976875,0.8990889978976875,0.9032936229852838,0.9243167484232656,0.9032936229852838,1.0,1.0
2014,0.9245416078984485,0.8913963328631875,0.8913963328631875,0.9047954866008463,0.9245416078984485,0.9047954866008463,1.0,1.0
2015,0.9293785310734464,0.885593220338983,0.885593220338983,0.9018361581920904,0.9293785310734464,0.9018361581920904,1.0,1.0
2016,0.9316725978647686,0.8896797153024911,0.8896797153024911,0.899644128113879,0.9316725978647686,0.899644128113879,1.0,1.0
2017,0.9507959479015919,0.8748191027496383,0.8748191027496383,0.874095513748191,0.9493487698986975,0.874095513748191,1.0,1.0
2018,0.9521044992743106,0.0,0.0,0.0,0.9521044992743106,0.0,1.0,1.0
2019,0.9202256244963739,0.0,0.0,0.0,0.9210314262691378,0.0,1.0,1.0
2020,0.9598360655737705,0.0,0.0,0.0,0.9598360655737705,0.0,1.0,1.0
2021,0.9510439164866811,0.0,0.0,0.0,0.9524838012958964,0.0,1.0,1.0
2022,0.9530346820809249,0.0,0.0,0.0,0.9530346820809249,0.0,1.0,1.0
2023,0.9537237888647867,0.0,0.0,0.0,0.9537237888647867,0.0,1.0,1.0
2024,0.9215017064846417,0.0,0.0,0.0,0.9215017064846417,0.0,1.0,1.0
