experiment,n_features,best_iter,accuracy,roc_auc,log_loss,brier,away_recall,home_recall,away_prec,home_prec,train_time_sec,acc_delta,auc_delta,ll_delta
E0_current,69,746,0.6382252559726962,0.7091589078355476,0.6140659824993722,0.21413646638393402,0.4936708860759494,0.756198347107438,0.6230031948881789,0.6466431095406361,9.5,0.0,0.0,0.0
E1_remove_dup,68,637,0.6439135381114903,0.7069358719531332,0.6153416463693389,0.2147320955991745,0.4911392405063291,0.768595041322314,0.6339869281045751,0.6492146596858639,8.0,0.005688282138794132,-0.002223035882414348,0.0012756638699666922
E2_remove_implied,67,708,0.6405005688282139,0.7074170938382676,0.6151691321550801,0.21461474895477295,0.49873417721518987,0.756198347107438,0.6253968253968254,0.648936170212766,9.0,0.0022753128555177415,-0.0017418139972800173,0.0011031496557079024
E3_raw_elo_only,65,626,0.6405005688282139,0.7065174181399728,0.6159793766211862,0.21498766541481018,0.4911392405063291,0.762396694214876,0.627831715210356,0.6473684210526316,8.0,0.0022753128555177415,-0.0026414896955747613,0.001913394121814016
E4_prob_only,65,485,0.6416382252559727,0.7062977298880635,0.6159395203126999,0.21500012278556824,0.47848101265822784,0.7747933884297521,0.6342281879194631,0.6454388984509466,6.2,0.0034129692832765013,-0.0028611779474840837,0.0018735378133277747
