GAME_ID,season,GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,home_implied_prob_close,away_implied_prob_close,home_spread_close,market_elo_diff,has_market_odds,sharp_signal_home,book_consensus_std,open_implied_prob_home,spread_movement_pts,line_movement,market_source,opening_source,home_implied_prob,home_spread,nba_odds_row_present,nba_odds_open_prob_present,nba_odds_spread_present,open_home_prob,close_home_prob,open_spread_home,close_spread_home,opening_lines_row_present,opening_lines_open_prob_present,opening_lines_close_prob_present,opening_lines_open_spread_present,opening_lines_close_spread_present,missing_reason
11800002,2018,2018-09-28,1610612766,1610612738,0.47557254681902483,0.5244274531809752,,0.0,0,,,,,,elo_fallback,,,,,,,,,,,,,,,,true_source_absence_or_join_miss
11800005,2018,2018-09-29,1610612744,1610612750,0.8029198068797737,0.1970801931202263,,0.0,0,,,,,,elo_fallback,,,,,,,,,,,,,,,,true_source_absence_or_join_miss
11800003,2018,2018-09-29,1610612761,1610612757,0.6796417134576539,0.3203582865423461,,0.0,0,,,,,,elo_fallback,,,,,,,,,,,,,,,,true_source_absence_or_join_miss
11800007,2018,2018-09-30,1610612759,1610612748,0.6826403316920386,0.31735966830796136,,0.0,0,,,,,,elo_fallback,,,,,,,,,,,,,,,,true_source_absence_or_join_miss
11800008,2018,2018-09-30,1610612738,1610612766,0.7555298960843251,0.24447010391567492,,0.0,0,,,,,,elo_fallback,,,,,,,,,,,,,,,,true_source_absence_or_join_miss
11800010,2018,2018-09-30,1610612747,1610612743,0.5055286496510111,0.4944713503489889,,0.0,0,,,,,,elo_fallback,,,,,,,,,,,,,,,,true_source_absence_or_join_miss
11800009,2018,2018-09-30,1610612741,1610612740,0.3831839122924999,0.6168160877075002,,0.0,0,,,,,,elo_fallback,,,,,,,,,,,,,,,,true_source_absence_or_join_miss
11800015,2018,2018-10-01,1610612756,1610612758,0.5401821404429987,0.4598178595570013,,0.0,0,,,,,,elo_fallback,,,,,,,,,,,,,,,,true_source_absence_or_join_miss
11800014,2018,2018-10-01,1610612737,1610612740,0.4066942712056261,0.5933057287943739,,0.0,0,,,,,,elo_fallback,,,,,,,,,,,,,,,,true_source_absence_or_join_miss
11800013,2018,2018-10-01,1610612764,1610612752,0.7720787725341736,0.22792122746582644,,0.0,0,,,,,,elo_fallback,,,,,,,,,,,,,,,,true_source_absence_or_join_miss
11800012,2018,2018-10-01,1610612755,1610612753,0.8577253785570479,0.1422746214429521,,0.0,0,,,,,,elo_fallback,,,,,,,,,,,,,,,,true_source_absence_or_join_miss
11800016,2018,2018-10-02,1610612766,1610612748,0.6106405967602635,0.3893594032397365,,0.0,0,,,,,,elo_fallback,,,,,,,,,,,,,,,,true_source_absence_or_join_miss
11800020,2018,2018-10-02,1610612747,1610612743,0.4764457538435595,0.5235542461564404,,0.0,0,,,,,,elo_fallback,,,,,,,,,,,,,,,,true_source_absence_or_join_miss
