game_date,home_team_id,away_team_id,open_ml_home,open_ml_away,open_spread_home,source,close_ml_home,close_ml_away,close_spread_home,source_detail,ingested_at
2007-10-30,1610612744,1610612762,-120.0,100.0,-1.0,local_nba_odds_open|local_odds_data_close,-120.0,100.0,-1.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-10-30,1610612747,1610612745,190.0,-230.0,5.0,local_nba_odds_open|local_odds_data_close,190.0,-230.0,5.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-10-30,1610612759,1610612757,-1400.0,900.0,-13.0,local_nba_odds_open|local_odds_data_close,-1400.0,900.0,-13.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-10-31,1610612751,1610612741,-125.0,105.0,-1.5,local_nba_odds_open|local_odds_data_close,-125.0,105.0,-1.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-10-31,1610612740,1610612758,-525.0,425.0,-9.5,local_nba_odds_open|local_odds_data_close,-525.0,425.0,-9.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-10-31,1610612743,1610612760,-825.0,625.0,-11.5,local_nba_odds_open|local_odds_data_close,-825.0,625.0,-11.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-10-31,1610612739,1610612742,120.0,-140.0,2.5,local_nba_odds_open|local_odds_data_close,120.0,-140.0,2.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-10-31,1610612753,1610612749,-295.0,245.0,-6.5,local_nba_odds_open|local_odds_data_close,-295.0,245.0,-6.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-10-31,1610612754,1610612764,105.0,-125.0,1.5,local_nba_odds_open|local_odds_data_close,105.0,-125.0,1.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-10-31,1610612763,1610612759,210.0,-250.0,6.5,local_nba_odds_open|local_odds_data_close,210.0,-250.0,6.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-10-31,1610612761,1610612755,-305.0,255.0,-6.5,local_nba_odds_open|local_odds_data_close,-305.0,255.0,-6.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-01,1610612748,1610612765,160.0,-190.0,4.0,local_nba_odds_open|local_odds_data_close,160.0,-190.0,4.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-01,1610612760,1610612756,575.0,-725.0,12.0,local_nba_odds_open|local_odds_data_close,575.0,-725.0,12.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-01,1610612762,1610612745,-160.0,140.0,-3.0,local_nba_odds_open|local_odds_data_close,-160.0,140.0,-3.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-02,1610612741,1610612755,-500.0,400.0,-9.5,local_nba_odds_open|local_odds_data_close,-500.0,400.0,-9.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-02,1610612737,1610612742,210.0,-250.0,5.5,local_nba_odds_open|local_odds_data_close,210.0,-250.0,5.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-02,1610612738,1610612764,-335.0,285.0,-7.5,local_nba_odds_open|local_odds_data_close,-335.0,285.0,-7.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-02,1610612739,1610612752,-250.0,210.0,-6.0,local_nba_odds_open|local_odds_data_close,-250.0,210.0,-6.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-02,1610612740,1610612757,-325.0,275.0,-7.5,local_nba_odds_open|local_odds_data_close,-325.0,275.0,-7.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-02,1610612754,1610612748,-275.0,235.0,-6.5,local_nba_odds_open|local_odds_data_close,-275.0,235.0,-6.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-02,1610612746,1610612744,-125.0,105.0,-1.5,local_nba_odds_open|local_odds_data_close,-125.0,105.0,-1.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-02,1610612753,1610612765,-170.0,150.0,-4.0,local_nba_odds_open|local_odds_data_close,-170.0,150.0,-4.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-02,1610612756,1610612747,-435.0,365.0,-8.0,local_nba_odds_open|local_odds_data_close,-435.0,365.0,-8.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-02,1610612750,1610612743,315.0,-375.0,7.5,local_nba_odds_open|local_odds_data_close,315.0,-375.0,7.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-02,1610612759,1610612758,-2000.0,1200.0,-14.5,local_nba_odds_open|local_odds_data_close,-2000.0,1200.0,-14.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-02,1610612766,1610612749,-170.0,150.0,-4.0,local_nba_odds_open|local_odds_data_close,-170.0,150.0,-4.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-02,1610612751,1610612761,-175.0,155.0,-4.0,local_nba_odds_open|local_odds_data_close,-175.0,155.0,-4.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-03,1610612755,1610612751,130.0,-150.0,3.0,local_nba_odds_open|local_odds_data_close,130.0,-150.0,3.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-03,1610612742,1610612758,-3000.0,1500.0,-15.5,local_nba_odds_open|local_odds_data_close,-3000.0,1500.0,-15.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-03,1610612745,1610612757,-1000.0,700.0,-11.5,local_nba_odds_open|local_odds_data_close,-1000.0,700.0,-11.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-03,1610612762,1610612744,-550.0,425.0,-9.5,local_nba_odds_open|local_odds_data_close,-550.0,425.0,-9.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-03,1610612763,1610612754,-220.0,180.0,-5.5,local_nba_odds_open|local_odds_data_close,-220.0,180.0,-5.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-03,1610612764,1610612753,-130.0,110.0,-1.0,local_nba_odds_open|local_odds_data_close,-130.0,110.0,-1.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-03,1610612749,1610612741,155.0,-175.0,4.0,local_nba_odds_open|local_odds_data_close,155.0,-175.0,4.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-04,1610612747,1610612762,-115.0,-105.0,-1.0,local_nba_odds_open|local_odds_data_close,-115.0,-105.0,-1.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-04,1610612748,1610612766,-160.0,140.0,-3.5,local_nba_odds_open|local_odds_data_close,-160.0,140.0,-3.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-04,1610612746,1610612760,-300.0,250.0,-6.5,local_nba_odds_open|local_odds_data_close,-300.0,250.0,-6.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-04,1610612743,1610612740,-215.0,185.0,-5.0,local_nba_odds_open|local_odds_data_close,-215.0,185.0,-5.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-04,1610612756,1610612739,-350.0,290.0,-7.5,local_nba_odds_open|local_odds_data_close,-350.0,290.0,-7.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-04,1610612761,1610612738,-125.0,105.0,-1.5,local_nba_odds_open|local_odds_data_close,-125.0,105.0,-1.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-04,1610612765,1610612737,-350.0,290.0,-8.0,local_nba_odds_open|local_odds_data_close,-350.0,290.0,-8.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-04,1610612752,1610612750,-425.0,355.0,-9.0,local_nba_odds_open|local_odds_data_close,-425.0,355.0,-9.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-05,1610612742,1610612745,-200.0,170.0,-4.5,local_nba_odds_open|local_odds_data_close,-200.0,170.0,-4.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-06,1610612747,1610612740,-155.0,135.0,-3.0,local_nba_odds_open|local_odds_data_close,-155.0,135.0,-3.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-06,1610612749,1610612761,140.0,-160.0,3.0,local_nba_odds_open|local_odds_data_close,140.0,-160.0,3.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-06,1610612744,1610612739,-135.0,115.0,-2.0,local_nba_odds_open|local_odds_data_close,-135.0,115.0,-2.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-06,1610612745,1610612759,115.0,-135.0,2.0,local_nba_odds_open|local_odds_data_close,115.0,-135.0,2.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-06,1610612741,1610612746,-405.0,335.0,-8.5,local_nba_odds_open|local_odds_data_close,-405.0,335.0,-8.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-06,1610612751,1610612737,-190.0,160.0,-4.0,local_nba_odds_open|local_odds_data_close,-190.0,160.0,-4.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-06,1610612752,1610612743,140.0,-160.0,3.0,local_nba_odds_open|local_odds_data_close,140.0,-160.0,3.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-06,1610612758,1610612760,-130.0,110.0,-2.0,local_nba_odds_open|local_odds_data_close,-130.0,110.0,-2.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-06,1610612766,1610612756,165.0,-195.0,4.0,local_nba_odds_open|local_odds_data_close,165.0,-195.0,4.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-06,1610612750,1610612753,250.0,-300.0,6.5,local_nba_odds_open|local_odds_data_close,250.0,-300.0,6.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-07,1610612755,1610612766,-195.0,165.0,-4.0,local_nba_odds_open|local_odds_data_close,-195.0,165.0,-4.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-07,1610612737,1610612756,190.0,-230.0,5.0,local_nba_odds_open|local_odds_data_close,190.0,-230.0,5.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-07,1610612754,1610612746,-290.0,240.0,-6.5,local_nba_odds_open|local_odds_data_close,-290.0,240.0,-6.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-07,1610612760,1610612763,-110.0,-110.0,-0.0,local_nba_odds_open|local_odds_data_close,-110.0,-110.0,0.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-07,1610612738,1610612743,-295.0,245.0,-6.5,local_nba_odds_open|local_odds_data_close,-295.0,245.0,-6.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-07,1610612759,1610612748,-1200.0,800.0,-11.5,local_nba_odds_open|local_odds_data_close,-1200.0,800.0,-11.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-07,1610612761,1610612753,-200.0,170.0,-4.0,local_nba_odds_open|local_odds_data_close,-200.0,170.0,-4.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-07,1610612762,1610612739,-500.0,400.0,-9.0,local_nba_odds_open|local_odds_data_close,-500.0,400.0,-9.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-07,1610612757,1610612740,125.0,-145.0,2.5,local_nba_odds_open|local_odds_data_close,125.0,-145.0,2.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-08,1610612741,1610612765,-120.0,100.0,-1.0,local_nba_odds_open|local_odds_data_close,-120.0,100.0,-1.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-08,1610612744,1610612742,275.0,-325.0,7.5,local_nba_odds_open|local_odds_data_close,275.0,-325.0,7.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-08,1610612751,1610612764,-275.0,235.0,-6.0,local_nba_odds_open|local_odds_data_close,-275.0,235.0,-6.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-09,1610612748,1610612756,315.0,-375.0,8.0,local_nba_odds_open|local_odds_data_close,315.0,-375.0,8.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-09,1610612738,1610612737,-430.0,360.0,-8.5,local_nba_odds_open|local_odds_data_close,-430.0,360.0,-8.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-09,1610612740,1610612759,145.0,-165.0,3.5,local_nba_odds_open|local_odds_data_close,145.0,-165.0,3.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-09,1610612745,1610612749,-475.0,395.0,-9.0,local_nba_odds_open|local_odds_data_close,-475.0,395.0,-9.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-09,1610612755,1610612761,110.0,-130.0,2.0,local_nba_odds_open|local_odds_data_close,110.0,-130.0,2.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-09,1610612752,1610612753,-115.0,-105.0,-1.0,local_nba_odds_open|local_odds_data_close,-115.0,-105.0,-1.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-09,1610612760,1610612762,240.0,-290.0,6.5,local_nba_odds_open|local_odds_data_close,240.0,-290.0,6.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-09,1610612757,1610612763,-140.0,120.0,-2.5,local_nba_odds_open|local_odds_data_close,-140.0,120.0,-2.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-09,1610612766,1610612754,-125.0,105.0,-1.5,local_nba_odds_open|local_odds_data_close,-125.0,105.0,-1.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-09,1610612764,1610612743,110.0,-130.0,2.0,local_nba_odds_open|local_odds_data_close,110.0,-130.0,2.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-09,1610612765,1610612746,-375.0,315.0,-8.0,local_nba_odds_open|local_odds_data_close,-375.0,315.0,-8.0,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
2007-11-09,1610612758,1610612739,205.0,-245.0,5.5,local_nba_odds_open|local_odds_data_close,205.0,-245.0,5.5,local_nba_odds_open|local_odds_data_close,2026-04-22T12:51:34.614606+00:00
