game_id,game_date,season,home_team_id,away_team_id,home_win,elo_home,elo_away,elo_difference,elo_rolling_five_home,elo_rolling_five_away,implied_prob_home,pace_home,pace_away,pace_difference,shooting_pct_home,shooting_pct_away,shooting_pct_diff,home_win_pct_home,road_win_pct_home,games_played_home,home_win_pct_away,road_win_pct_away,games_played_away,home_implied_prob_close,away_implied_prob_close,home_spread_close,market_elo_diff,has_market_odds,sharp_signal_home,book_consensus_std,spread_movement_pts,open_implied_prob_home,line_movement,h2h_home_win_rate_10,h2h_home_pts_diff_10,home_court_strength_home,home_court_strength_away,ppg_10_home,opp_ppg_10_home,fg_pct_roll_10_home,ft_pct_roll_10_home,fg3_pct_roll_10_home,last_5_win_rate_home,last_10_win_rate_home,win_streak_home,ewm_win_rate_5_home,offensive_rating_home,defensive_rating_home,net_rating_home,turnovers_per_game_home,opponent_off_rating_10_home,opponent_def_rating_10_home,player_impact_estimate_home,player_injury_flag_home,injured_count_home,star_available_home,star_count_home,star_points_lost_home,star_points_lost_missing_home,rest_days_home,back_to_back_home,fatigue_load_index_home,coaching_adaptability_score_home,coaching_adaptability_score_missing_home,season_pressure_home,ppg_10_away,opp_ppg_10_away,fg_pct_roll_10_away,ft_pct_roll_10_away,fg3_pct_roll_10_away,last_5_win_rate_away,last_10_win_rate_away,win_streak_away,ewm_win_rate_5_away,offensive_rating_away,defensive_rating_away,net_rating_away,turnovers_per_game_away,opponent_off_rating_10_away,opponent_def_rating_10_away,player_impact_estimate_away,player_injury_flag_away,injured_count_away,star_available_away,star_count_away,star_points_lost_away,star_points_lost_missing_away,rest_days_away,back_to_back_away,fatigue_load_index_away,coaching_adaptability_score_away,coaching_adaptability_score_missing_away,season_pressure_away,h2h_home_win_rate_10_missing,h2h_home_pts_diff_10_missing
21400524,2015-01-07,2014,1610612755,1610612749,0,1270.2782562756026,1444.6449579529708,-174.36670167736816,1259.9959996360271,1446.3799390797913,0.3945827178738908,98.76,97.816,0.9440000000000026,0.4665442622950819,0.5126918032786885,-0.0461475409836065,0.0666666666666666,0.2222222222222222,33,0.4666666666666667,0.5238095238095238,36,0.2870628288455586,0.7129371711544413,6.5,-0.1075198890283321,1,-0.00311057143054,0.0030678602757505,0.0,0.2914110429447852,-0.0043482140992265,0.3,-4.4,0.4824074074074074,0.4079663532904503,89.7,104.8,0.4124999999999999,0.7122,0.2768,0.2,0.3,1.0,0.3845806592591483,90.8262454434994,106.1158363710004,-15.28959092750101,19.6,100.69927210272348,96.09879774270055,0.4119243470950636,1,2,1,0,,1,2,0,3,0.0699989700289623,0,0,98.5,94.0,0.4610999999999999,0.7472000000000001,0.3518,0.6,0.5,-1.0,0.4323169393745374,100.69927210272348,96.09879774270055,4.6004743600229006,16.4,90.8262454434994,106.1158363710004,0.5235670918970072,1,2,1,0,,1,1,1,3,0.0702017394298051,0,0,0,0
22000130,2021-01-08,2020,1610612744,1610612746,1,1428.5068655234031,1579.780713893561,-151.27384837015757,1426.665138230504,1577.876932472494,0.4267420647552321,130.244,103.748,26.495999999999995,0.5023573770491804,0.5359327868852458,-0.0335754098360654,0.5,0.5,8,0.5,0.8,9,0.311111111111111,0.6888888888888889,6.5,-0.115630953644121,1,,,0.0,0.311111111111111,0.0,0.4,0.0,0.5527524277524277,0.5959541062801933,114.2,117.5,0.44,0.7857999999999999,0.3483,0.6,0.5,-1.0,0.5031376166260758,87.68158226098707,90.21528822824853,-2.53370596726144,17.0,106.02614026294484,106.21891506342293,0.496929673477963,1,2,0,0,23.0,0,2,0,3,0.0513653050789621,0,0,110.0,110.2,0.4672999999999999,0.8478999999999999,0.4194,0.6,0.6,1.0,0.6255760185745237,106.02614026294484,106.21891506342293,-0.1927748004780767,14.2,87.68158226098707,90.21528822824853,0.4796229540814178,1,1,1,2,0.0,0,2,0,3,0.0515724044762537,0,0,0,0
21400993,2015-03-16,2014,1610612763,1610612743,1,1628.970358756506,1427.405147973705,201.5652107828012,1639.9931019988908,1388.782269479811,0.8501717687848693,94.092,99.856,-5.763999999999996,0.5154524590163935,0.4971950819672132,0.0182573770491802,0.78125,0.6176470588235294,66,0.4571428571428571,0.3125,67,0.8809523809523809,0.119047619047619,-12.5,0.0307806121675116,1,-0.000896096691883,0.0045287317066457,0.0,0.879120879120879,0.0018315018315019,0.5,2.1,0.7061897547372812,0.6826032301259803,92.6,94.8,0.4590999999999999,0.7716000000000001,0.3106,0.4,0.5,1.0,0.5275884277863031,98.4143179016282,100.75245504399948,-2.3381371423712807,14.7,104.55055279602628,101.2457939432783,0.4787109579358545,1,3,1,0,,1,2,0,3,0.0885749203280472,0,0,104.4,101.1,0.446,0.7299,0.3475,0.8,0.6,4.0,0.8524577961573678,104.55055279602628,101.2457939432783,3.3047588527479803,13.2,98.4143179016282,100.75245504399948,0.5019766547312825,1,3,1,0,,1,1,1,3,0.0622686578527929,0,0,0,0
21300764,2014-02-10,2013,1610612754,1610612743,1,1656.1928097844657,1503.4969878521954,152.69582193227006,1661.6659497007568,1518.185985441552,0.8107105993022085,99.948,101.868,-1.9200000000000017,0.4936688524590164,0.5094967213114754,-0.0158278688524589,0.9230769230769232,0.625,50,0.56,0.4166666666666667,49,0.8415300546448088,0.1584699453551913,-10.5,0.0308194553426003,1,0.0048346455033422,0.0051750142713621,0.0,0.8328690807799444,0.0086609738648644,0.2,-2.4,0.6701804757998359,0.772424598511555,100.4,100.4,0.4426,0.7258,0.3029,0.8,0.6,-1.0,0.5936539372816367,100.45223516228438,100.45223516228438,0.0,14.5,103.56539835866025,107.88471355086976,0.5163746315292683,0,0,1,0,,1,1,1,3,0.0661042784762014,0,0,105.5,109.9,0.4607,0.7313,0.3695,0.4,0.4,-2.0,0.3040194462250467,103.56539835866025,107.88471355086976,-4.319315192209515,16.9,100.45223516228438,100.45223516228438,0.4646391731430149,1,3,1,0,,1,2,0,3,0.0613219405117297,0,0,0,0
20500493,2006-01-10,2005,1610612766,1610612745,1,1354.7200653592654,1516.366989336026,-161.64692397676072,1368.3313109055216,1527.87587325312,0.41220239022469,96.824,89.268,7.556000000000012,0.4720377049180328,0.4787147540983607,-0.0066770491803278,0.4,0.2222222222222222,33,0.2307692307692307,0.4736842105263157,32,0.41220239022469,0.5877976097753099,,0.0,0,,,,,,0.5,0.0,0.3720930232558139,0.6255813953488372,94.7,99.5,0.4205,0.7063,0.2835999999999999,0.2,0.4,-4.0,0.1482758503137242,97.80632900933652,102.76377757580764,-4.957448566471129,13.4,99.81180266164806,105.30089169691266,0.4508029224726253,1,2,1,0,,1,3,0,2,0.0788514028595277,0,0,89.1,94.0,0.4145,0.7706,0.3108,0.4,0.3,-2.0,0.2659833590903773,99.81180266164806,105.30089169691266,-5.489089035264598,12.9,97.80632900933652,102.76377757580764,0.4453897745969638,1,3,0,0,26.404761904761905,0,2,0,3,0.0780809362412894,0,0,1,1
22300204,2023-11-18,2023,1610612741,1610612748,1,1437.013067062046,1574.4880531159806,-137.47498605393457,1461.7855981795296,1549.9695058225675,0.4462773374637504,99.484,98.824,0.6600000000000108,0.5167885245901639,0.5432409836065575,-0.0264524590163935,0.375,0.2,13,0.8,0.5714285714285714,12,0.4472470574589005,0.5527529425410995,1.5,0.00096971999515,1,,,,0.4472470574589005,,0.4,-3.6,0.5395603633589904,0.6345136345136345,108.9,110.5,0.4527,0.8080999999999999,0.3619,0.2,0.3,-3.0,0.1560529627872475,109.46483856700576,111.07313738892684,-1.608298821921096,11.6,112.7256536873634,111.51137375536308,0.4799266096651889,1,2,1,2,0.0,0,1,1,4,0.0885107860006121,0,0,111.4,110.2,0.4756,0.8507,0.3627999999999999,1.0,0.7,7.0,0.9471441609194674,112.7256536873634,111.51137375536308,1.2142799320003377,13.4,109.46483856700576,111.07313738892684,0.5203837045543834,1,3,1,1,20.02777777777778,0,2,0,3,0.1051193859418493,0,0,0,0
22000802,2021-04-10,2020,1610612744,1610612745,1,1443.5449707485843,1351.8135345580902,91.73143619049438,1455.8368924957072,1350.82018509967,0.7509517720386615,101.896,100.28,1.6159999999999997,0.5104065573770493,0.5095032786885246,0.0009032786885246,0.6,0.3333333333333333,52,0.2692307692307692,0.2692307692307692,52,0.7313237221494101,0.2686762778505897,-7.0,-0.0196280498892513,1,,,0.0,0.7313237221494101,0.0,0.6,-1.0,0.5527524277524277,0.7367434153148439,107.0,118.0,0.4463000000000001,0.8018000000000001,0.3678,0.2,0.2,-1.0,0.278008448268471,105.00902881369238,115.80434953285705,-10.79532071916465,14.1,109.99202233745513,116.47387315516552,0.4403478957351656,1,2,0,0,23.0,0,1,1,3,0.0530673241429364,0,0,110.3,116.8,0.4615,0.7277,0.372,0.2,0.2,-1.0,0.2475145416201334,109.99202233745513,116.47387315516552,-6.481850817710424,13.3,105.00902881369238,115.80434953285705,0.4608978480078454,1,3,0,0,58.57449494949495,0,1,1,4,0.0725287394399537,0,0,0,0
22000776,2021-04-07,2020,1610612754,1610612750,1,1468.9749348334285,1332.4133713664728,136.5615634669557,1487.0433781956442,1320.13301341055,0.7960452416528957,103.616,102.148,1.4680000000000175,0.5143229508196722,0.4925622950819672,0.0217606557377049,0.3478260869565217,0.5384615384615384,49,0.32,0.1923076923076923,51,0.4782608695652174,0.5217391304347826,1.5,-0.3177843720876783,1,,,0.0,0.4782608695652174,0.0,0.6,1.3,0.6615574348132488,0.5119802677942212,112.8,114.5,0.4599,0.7617,0.371,0.2,0.5,-1.0,0.320569946721912,108.86349598517602,110.50416924027176,-1.6406732550957344,13.0,104.94576496847712,111.99436112307632,0.4958739016269978,1,2,1,0,,1,1,1,3,0.0735688531387397,0,0,107.2,114.4,0.4242,0.8032999999999999,0.3374,0.4,0.3,1.0,0.4708774074525454,104.94576496847712,111.99436112307632,-7.04859615459921,12.4,108.86349598517602,110.50416924027176,0.4617019203657125,1,3,1,1,21.347826086956523,0,2,0,3,0.0650590267200062,0,0,0,0
12000032,2020-12-17,2020,1610612753,1610612766,0,1486.937435510833,1414.490459139126,72.44697637170702,1493.292160630436,1401.9284950422857,0.7296178534658023,106.76,99.456,7.304000000000002,0.4981262295081968,0.5116180327868852,-0.0134918032786884,0.5,0.5,2,0.0,0.5,2,0.7296178534658023,0.2703821465341977,,0.0,0,,,,,,0.4,-3.2,0.4828734499466207,0.4807030634664013,110.6,116.6,0.432,0.7987,0.3606,0.2,0.3,-1.0,0.2751361338134239,103.5968527538404,109.216935181716,-5.620082427875587,13.8,107.58526383526385,107.6858108108108,0.4586050341497651,1,9,1,0,,1,4,0,2,0.0825160429522558,0,0,107.0,107.1,0.4533,0.7767000000000001,0.3845999999999999,0.4,0.4,-2.0,0.2411971654023692,107.58526383526385,107.6858108108108,-0.1005469755469761,15.2,103.5968527538404,109.216935181716,0.5035025630852192,1,9,1,0,,1,3,0,2,0.0664026172281709,0,0,0,0
21700108,2017-11-01,2017,1610612764,1610612756,0,1585.0074898146486,1377.840456199663,207.1670336149853,1583.2479811610262,1355.9311931275306,0.8542331304784873,103.54,106.428,-2.887999999999991,0.5180540983606557,0.495472131147541,0.0225819672131147,1.0,0.5,6,0.5,0.3333333333333333,7,0.8415300546448088,0.1584699453551913,-11.0,-0.0127030758336784,1,0.000927504004047,0.0034187063900359,0.0,0.8465011286681716,-0.0049710740233628,0.7,3.0,0.6561177028951115,0.436046511627907,110.1,104.9,0.4651999999999999,0.7583,0.3394,0.6,0.7,1.0,0.6001998165503549,106.33571566544327,101.31350202820168,5.02221363724162,15.2,98.09448641334988,109.1817942646672,0.5365602032729069,1,3,1,2,0.0,0,3,0,2,0.0727593630126988,0,0,104.4,116.2,0.4327,0.7807999999999999,0.3606999999999999,0.6,0.3,1.0,0.5903190279695875,98.09448641334988,109.1817942646672,-11.08730785131732,18.8,106.33571566544327,101.31350202820168,0.4433685605253736,1,2,1,1,20.125,0,1,1,2,0.0564816395015566,0,0,0,0
