season,home_spread_close,open_implied_prob_home,spread_movement_pts,line_movement
2003,0.0,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0
2006,0.8350951374207188,0.0,0.0,0.0
2007,0.9326718639262934,0.9326718639262934,0.9319631467044649,0.9319631467044649
2008,0.9228070175438596,0.9228070175438596,0.9228070175438596,0.9228070175438596
2009,0.9213483146067416,0.9213483146067416,0.9206460674157303,0.9206460674157303
2010,0.9219409282700421,0.9219409282700421,0.9219409282700421,0.9219409282700421
2011,1.0,0.9728260869565217,0.9728260869565217,0.9728260869565217
2012,0.9253521126760563,0.9253521126760563,0.9253521126760563,0.9253521126760563
2013,0.9243167484232656,0.9243167484232656,0.9243167484232656,0.9243167484232656
2014,0.9245416078984485,0.9245416078984485,0.9245416078984485,0.9245416078984485
2015,0.9293785310734464,0.9293785310734464,0.9293785310734464,0.9293785310734464
2016,0.9316725978647686,0.9316725978647686,0.9316725978647686,0.9316725978647686
2017,0.9507959479015919,0.9493487698986975,0.9493487698986975,0.9493487698986975
2018,0.9521044992743106,0.9521044992743106,0.8925979680696662,0.8925979680696662
2019,0.9210314262691378,0.9210314262691378,0.8525382755842063,0.8533440773569702
2020,0.9598360655737705,0.9598360655737705,0.8852459016393442,0.8852459016393442
2021,0.9524838012958964,0.9524838012958964,0.8840892728581713,0.8855291576673866
2022,0.9530346820809249,0.9530346820809249,0.4790462427745665,0.4790462427745665
2023,0.9537237888647867,0.9537237888647867,0.0,0.0
2024,0.9215017064846417,0.9215017064846417,0.0,0.0
